"date","facility","form","location","qty","book_value"
2015-02-28,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2015-02-28,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2015-02-28,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2015-02-28,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2015-02-28,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2015-03-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2015-03-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2015-03-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2015-03-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2015-03-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2015-03-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2015-03-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2015-03-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2015-04-30,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2015-04-30,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2015-04-30,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2015-04-30,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2015-04-30,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2015-04-30,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2015-04-30,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2015-04-30,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2015-05-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2015-05-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2015-05-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2015-05-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2015-05-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2015-05-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2015-05-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2015-05-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2015-06-30,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2015-06-30,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2015-06-30,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2015-06-30,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2015-06-30,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2015-06-30,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2015-06-30,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2015-06-30,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2015-07-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2015-07-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2015-07-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2015-07-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2015-07-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2015-07-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2015-07-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2015-07-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2015-08-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2015-08-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2015-08-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2015-08-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2015-08-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2015-08-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2015-08-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2015-08-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2015-09-30,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2015-09-30,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2015-09-30,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2015-09-30,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2015-09-30,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2015-09-30,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2015-09-30,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2015-09-30,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2015-10-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2015-10-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2015-10-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2015-10-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2015-10-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2015-10-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2015-10-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2015-10-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2015-11-30,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2015-11-30,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2015-11-30,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2015-11-30,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2015-11-30,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2015-11-30,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2015-11-30,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2015-11-30,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2015-12-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2015-12-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2015-12-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2015-12-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2015-12-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2015-12-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2015-12-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2015-12-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2016-01-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2016-01-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2016-01-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2016-01-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2016-01-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2016-01-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2016-01-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2016-01-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2016-02-29,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2016-02-29,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2016-02-29,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2016-02-29,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2016-02-29,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2016-02-29,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2016-02-29,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2016-02-29,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2016-03-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2016-03-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2016-03-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2016-03-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2016-03-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2016-03-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2016-03-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2016-03-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2016-04-30,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2016-04-30,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2016-04-30,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2016-04-30,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2016-04-30,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2016-04-30,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2016-04-30,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2016-04-30,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2016-05-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2016-05-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2016-05-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2016-05-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2016-05-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2016-05-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2016-05-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2016-05-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2016-06-30,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2016-06-30,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2016-06-30,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2016-06-30,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2016-06-30,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2016-06-30,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2016-06-30,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2016-06-30,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2016-07-29,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2016-07-29,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2016-07-29,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2016-07-29,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2016-07-29,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2016-07-29,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2016-07-29,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2016-07-29,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2016-08-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2016-08-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2016-08-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2016-08-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2016-08-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2016-08-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2016-08-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2016-08-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2016-09-30,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2016-09-30,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2016-09-30,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2016-09-30,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2016-09-30,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2016-09-30,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2016-09-30,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2016-09-30,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2016-10-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2016-10-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2016-10-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2016-10-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2016-10-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2016-10-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2016-10-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2016-10-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2016-11-30,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2016-11-30,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2016-11-30,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2016-11-30,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2016-11-30,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2016-11-30,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2016-11-30,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2016-11-30,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2016-12-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2016-12-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2016-12-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2016-12-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2016-12-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2016-12-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2016-12-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2016-12-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2017-01-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2017-01-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2017-01-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2017-01-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2017-01-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2017-01-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2017-01-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2017-01-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2017-02-28,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2017-02-28,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2017-02-28,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2017-02-28,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2017-02-28,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2017-02-28,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2017-02-28,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2017-02-28,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2017-03-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2017-03-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2017-03-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2017-03-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2017-03-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2017-03-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2017-03-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2017-03-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2017-04-30,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2017-04-30,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2017-04-30,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2017-04-30,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2017-04-30,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2017-04-30,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2017-04-30,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2017-04-30,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2017-05-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2017-05-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2017-05-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2017-05-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2017-05-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2017-05-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2017-05-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2017-05-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2017-06-30,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2017-06-30,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2017-06-30,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2017-06-30,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2017-06-30,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2017-06-30,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2017-06-30,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2017-06-30,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2017-07-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2017-07-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2017-07-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2017-07-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2017-07-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2017-07-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2017-07-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2017-07-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2017-08-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2017-08-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2017-08-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2017-08-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2017-08-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2017-08-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2017-08-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2017-08-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2017-09-30,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2017-09-30,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2017-09-30,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2017-09-30,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2017-09-30,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.724,564805851.07
2017-09-30,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.321,84162.4
2017-09-30,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2017-09-30,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2017-10-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2017-10-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2017-10-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2017-10-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2017-10-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.724,564805851.07
2017-10-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.321,84162.4
2017-10-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2017-10-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2017-11-30,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2017-11-30,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2017-11-30,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2017-11-30,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2017-11-30,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.724,564805851.07
2017-11-30,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.321,84162.4
2017-11-30,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2017-11-30,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2017-12-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2017-12-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2017-12-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2017-12-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2017-12-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.724,564805851.07
2017-12-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.321,84162.4
2017-12-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2017-12-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2018-01-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2018-01-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2018-01-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2018-01-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.724,564805851.07
2018-01-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.321,84162.4
2018-01-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2018-01-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2018-01-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2018-02-28,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2018-02-28,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2018-02-28,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2018-02-28,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2018-02-28,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2018-02-28,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.724,564805851.07
2018-02-28,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.321,84162.4
2018-02-28,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2018-03-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2018-03-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2018-03-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2018-03-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2018-03-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.724,564805851.07
2018-03-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.321,84162.4
2018-03-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2018-03-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
