"date","facility","form","location","qty","book_value"
2014-09-30,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2014-09-30,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2014-10-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2014-10-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2014-10-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2014-10-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2014-10-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2014-10-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2014-10-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2014-10-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2014-11-30,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2014-11-30,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2014-11-30,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2014-11-30,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2014-11-30,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2014-11-30,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2014-11-30,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2014-11-30,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2014-12-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2014-12-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2014-12-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2014-12-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2014-12-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2014-12-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2014-12-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2014-12-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2015-01-31,"Mint - Deep Storage","Gold Bullion","West Point, NY",54067331.379,2282841677.17
2015-01-31,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2015-01-31,"Federal Reserve Bank","Gold Bullion","FRB - NY Vault",13376987.715,564805850.63
2015-01-31,"Federal Reserve Bank","Gold Bullion","FRB - Display",1993.319,84162.4
2015-01-31,"Federal Reserve Bank","Gold Coins","FRB - NY Vault",73452.066,3101307.82
2015-01-31,"Federal Reserve Bank","Gold Coins","FRB - Display",377.434,15936.11
2015-01-31,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2015-01-31,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
2015-02-28,"Mint - Working Stock","Gold Coins","Miscellaneous",2783218.656,117513614.74
2015-02-28,"Mint - Deep Storage","Gold Bullion","Denver, CO",43853707.279,1851599995.81
2015-02-28,"Mint - Deep Storage","Gold Bullion","Fort Knox, KY",147341858.382,6221097412.78
